metric,value
completed,true
EX,0.0
executable_count,0
total,30
model,meta-llama/Llama-3.1-8B-Instruct
subset,spider2lite_30
benchmark_group,external_validation
quantization,bf16
schema_strategy,full_schema_proxy
gold_execution,NOT_AVAILABLE_bigquery_snowflake_only
evaluation_mode,prediction_only_structural_metrics
avg_len_chars,458.3
avg_len_tokens_est,51.8
pct_starts_with_select,100.0
pct_has_join,66.66666666666667
pct_has_groupby,36.666666666666664
pct_has_orderby,36.666666666666664
pct_has_limit,30.0
pct_safe_select,100.0
