metric,value
completed,true
EX,0.13333333333333333
executable_count,21
total,30
model,meta-llama/Llama-3.1-8B-Instruct
subset,bird_minidev_30
benchmark_group,external_validation
quantization,bf16
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_plan
avg_reduction_ratio,0.5311263736263736
schema_strategy,lex_linker_planner_full_schema_synth
avg_len_chars,153.63333333333333
avg_len_tokens_est,23.8
pct_starts_with_select,100.0
pct_has_join,53.333333333333336
pct_has_groupby,13.333333333333334
pct_has_orderby,13.333333333333334
pct_has_limit,13.333333333333334
pct_safe_select,100.0
