metric,value
completed,true
EX,0.8
executable_count,10
total,10
model,meta-llama/Llama-3.1-8B-Instruct
subset,smoke_10
benchmark_group,internal_core
quantization,bf16
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_plan
avg_reduction_ratio,0.475
schema_strategy,full_schema_planner_full_schema_synth
patches,"distinct_cue,superlative_subquery,anti_overengineering"
avg_len_chars,64.9
avg_len_tokens_est,9.9
pct_starts_with_select,100.0
pct_has_join,0.0
pct_has_groupby,0.0
pct_has_orderby,20.0
pct_has_limit,0.0
pct_safe_select,100.0
