lane,run_id,instance_id,db_id,error_type,unknown_tables_n,unknown_columns_n,first_unknown_table,first_unknown_column,first_suggestion,is_close_typo,is_alias_issue,is_struct_array_issue,is_wildcard_issue,is_project_qualification_issue,is_catalog_render_missing,is_true_hallucination,recommended_repair_type,parses,executable,schema_valid
A_bq,lite_bq_v10_pilot10,bq011,ga4,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq010,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq010,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq009,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq009,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq001,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq001,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq002,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq002,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq003,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq003,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq004,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq004,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq008,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq008,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq269,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq269,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq268,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v10_pilot10,bq268,ga360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_bq,lite_bq_v11_pilot10,bq011,ga4,schema_invalid,0,6,,INT_VALUE,,False,False,True,False,False,False,False,bq_nested_rewrite,False,,False
A_bq,lite_bq_v11_pilot10,bq010,ga360,schema_invalid,4,3,TOP_SELLING_PRODUCT,PRODUCTSKU,,False,False,False,True,True,False,True,wildcard_validator_fix,False,,False
A_bq,lite_bq_v11_pilot10,bq009,ga360,schema_invalid,4,4,MONTHLYREVENUE,SOURCE,,False,False,False,True,True,False,True,wildcard_validator_fix,False,,False
A_bq,lite_bq_v11_pilot10,bq001,ga360,schema_invalid,3,0,FIRSTVISIT,,,False,False,False,True,True,False,False,wildcard_validator_fix,False,,False
A_bq,lite_bq_v11_pilot10,bq002,ga360,schema_invalid,4,3,TOPTRAFFICSOURCE,SOURCE,,False,False,False,True,True,False,True,wildcard_validator_fix,False,,False
A_bq,lite_bq_v11_pilot10,bq003,ga360,schema_invalid,2,5,MONTHLY_DATA,MONTH,,False,False,False,True,True,False,True,wildcard_validator_fix,False,,False
A_bq,lite_bq_v11_pilot10,bq004,ga360,schema_invalid,1,5,GA_SESSIONS_201707*,PRODUCTSKU,,False,True,True,True,False,False,True,bq_nested_rewrite,False,,False
A_bq,lite_bq_v11_pilot10,bq008,ga360,schema_invalid,0,0,,,,False,False,False,False,False,False,True,none,False,,False
A_bq,lite_bq_v11_pilot10,bq269,ga360,schema_invalid,3,4,MONTHLY_TOTALS,MONTH,,False,False,False,True,True,False,True,wildcard_validator_fix,False,,False
A_bq,lite_bq_v11_pilot10,bq268,ga360,schema_invalid,3,0,FIRSTVISIT,,,False,False,False,True,True,False,False,wildcard_validator_fix,False,,False
A_bq,lite_bq_v12_pilot10,bq011,ga4,BadRequest,0,0,,,,False,False,False,False,False,False,True,none,False,,True
A_bq,lite_bq_v12_pilot10,bq010,ga360,schema_invalid,5,4,OTHER_PRODUCTS_SOLD,V2PRODUCTNAME,,False,False,True,True,True,False,True,bq_nested_rewrite,False,,False
A_bq,lite_bq_v12_pilot10,bq009,ga360,schema_invalid,1,6,MONTHLYREVENUE,CAMPAIGN,,False,False,False,False,True,False,True,4part_collapse_normalizer,False,,False
A_bq,lite_bq_v12_pilot10,bq001,ga360,schema_invalid,2,5,FIRST_TRANSACTIONS,FULLVISITORID,FULLVISITORID,False,False,False,False,True,False,True,4part_collapse_normalizer,False,,False
A_bq,lite_bq_v12_pilot10,bq002,ga360,schema_invalid,3,5,TOPTRAFFICSOURCE,SOURCE,,False,False,False,False,True,False,True,4part_collapse_normalizer,False,,False
A_bq,lite_bq_v12_pilot10,bq003,ga360,schema_invalid,0,3,,MONTH,,False,False,False,False,False,False,True,none,False,,False
A_bq,lite_bq_v12_pilot10,bq004,ga360,schema_invalid,1,7,GA_SESSIONS_201707*,PRODUCTSKU,,False,False,True,True,False,False,True,bq_nested_rewrite,False,,False
A_bq,lite_bq_v12_pilot10,bq008,ga360,schema_invalid,3,3,NEXT_PAGES,NEXT_PAGE_PATH,,False,True,False,True,True,False,True,wildcard_validator_fix,False,,False
A_bq,lite_bq_v12_pilot10,bq269,ga360,schema_invalid,2,6,MONTHLY_TOTALS,MONTH,,False,False,False,False,True,False,True,4part_collapse_normalizer,False,,False
A_bq,lite_bq_v12_pilot10,bq268,ga360,schema_invalid,2,5,FIRSTVISIT,FULLVISITORID,FULLVISITORID,False,False,False,False,True,False,True,4part_collapse_normalizer,False,,False
C_sqlite_stub,lite_sqlite_v10_pilot10,local002,E_commerce,syntax,0,0,,,,False,False,False,False,False,False,True,none,False,False,
C_sqlite_stub,lite_sqlite_v10_pilot10,local003,E_commerce,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
C_sqlite_stub,lite_sqlite_v10_pilot10,local004,E_commerce,syntax,0,0,,,,False,False,False,False,False,False,True,none,False,False,
C_sqlite_stub,lite_sqlite_v10_pilot10,local007,Baseball,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
C_sqlite_stub,lite_sqlite_v10_pilot10,local008,Baseball,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
C_sqlite_stub,lite_sqlite_v10_pilot10,local009,Airlines,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
C_sqlite_stub,lite_sqlite_v10_pilot10,local010,Airlines,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
C_sqlite_stub,lite_sqlite_v10_pilot10,local015,California_Traffic_Collision,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
C_sqlite_stub,lite_sqlite_v10_pilot10,local017,California_Traffic_Collision,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
C_sqlite_stub,lite_sqlite_v10_pilot10,local018,California_Traffic_Collision,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_sf,lite_v8_lim1_1778195395,bq011,ga4,unknown,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,lite_v8_pilot_1plus1plus1,bq011,ga4,unknown,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,lite_v8_pilot_1plus1plus1,sf_bq029,PATENTS,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,lite_v8_pilot_1plus1plus1,local002,E_commerce,sqlite_db_missing,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_sf,lite_v9_pilot10,bq011,ga4,agent_exception,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_sf,lite_v9_pilot10,bq010,ga360,agent_exception,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_sf,lite_v9_pilot10,bq009,ga360,agent_exception,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_sf,lite_v9_pilot10,bq001,ga360,agent_exception,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_sf,lite_v9_pilot10,sf_bq029,PATENTS,syntax,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,lite_v9_pilot10,sf_bq026,PATENTS,syntax,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,lite_v9_pilot10,sf_bq091,PATENTS,syntax,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,lite_v9_pilot10,local002,E_commerce,sqlite_db_missing,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_sf,lite_v9_pilot10,local003,E_commerce,sqlite_db_missing,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_sf,lite_v9_pilot10,local004,E_commerce,sqlite_db_missing,0,0,,,,False,False,False,False,False,False,True,none,False,False,
A_sf,snow_v10_pilot10,sf_bq011,GA4,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,snow_v10_pilot10,sf_bq010,GA360,syntax,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,snow_v10_pilot10,sf_bq009,GA360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,snow_v10_pilot10,sf_bq001,GA360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,snow_v10_pilot10,sf_bq002,GA360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,snow_v10_pilot10,sf_bq003,GA360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,snow_v10_pilot10,sf_bq004,GA360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,snow_v10_pilot10,sf_bq008,GA360,syntax,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,snow_v10_pilot10,sf_bq269,GA360,syntax,0,0,,,,False,False,False,False,False,False,True,none,False,,
A_sf,snow_v10_pilot10,sf_bq268,GA360,object_not_found,0,0,,,,False,False,False,False,False,False,True,none,False,,
