metric,value
completed,true
EX,0.76
executable_count,23
total,25
model,meta-llama/Llama-3.1-8B-Instruct
subset,smoke_25
benchmark_group,internal_core
quantization,bf16
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_or_no_executable
avg_reduction_ratio,0.58
schema_strategy,lex_linker_planner_full_schema_synth
multi_candidate,"k=3,T=0.7,top_p=0.95,top_k=50"
repair_depth,1
avg_len_chars,92.64
avg_len_tokens_est,13.84
pct_starts_with_select,100.0
pct_has_join,28.0
pct_has_groupby,20.0
pct_has_orderby,12.0
pct_has_limit,4.0
pct_safe_select,100.0
