metric,value
completed,true
EX,0.2
executable_count,24
total,30
model,Qwen/Qwen2.5-Coder-14B-Instruct
subset,bird_minidev_30
benchmark_group,external_validation
quantization,bf16
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_plan
avg_reduction_ratio,0.5311263736263736
schema_strategy,lex_linker_planner_full_schema_synth
avg_len_chars,160.5
avg_len_tokens_est,22.533333333333335
pct_starts_with_select,100.0
pct_has_join,43.333333333333336
pct_has_groupby,26.666666666666668
pct_has_orderby,20.0
pct_has_limit,20.0
pct_safe_select,100.0
