metric,value
completed,true
EX,0.0
executable_count,0
total,30
model,Qwen/Qwen2.5-Coder-14B-Instruct
subset,spider2lite_30
benchmark_group,external_validation
quantization,bf16
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_or_no_executable
avg_reduction_ratio,0.8373076923076923
evaluation_mode,prediction_only_structural_metrics
schema_strategy,lex_linker_planner_full_schema_synth
multi_candidate,"k=3,T=0.7,top_p=0.95,top_k=50"
repair_depth,1
avg_len_chars,412.5
avg_len_tokens_est,41.36666666666667
pct_starts_with_select,100.0
pct_has_join,40.0
pct_has_groupby,60.0
pct_has_orderby,40.0
pct_has_limit,26.666666666666668
pct_safe_select,100.0
