metric,value
completed,true
EX,0.0
executable_count,0
total,30
model,meta-llama/Llama-3.1-8B-Instruct
subset,spider2lite_30
benchmark_group,external_validation
quantization,bf16
schema_strategy,full_schema_proxy_planner_full_schema_synth
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_plan
gold_execution,NOT_AVAILABLE_bigquery_snowflake_only
evaluation_mode,prediction_only_structural_metrics
avg_len_chars,471.7
avg_len_tokens_est,51.56666666666667
pct_starts_with_select,100.0
pct_has_join,43.333333333333336
pct_has_groupby,36.666666666666664
pct_has_orderby,16.666666666666668
pct_has_limit,10.0
pct_safe_select,100.0
